grouped_mm=available
configurations=108 launches=108 worst_ratio=0.0362
   E   out    in  b  rows  fused_ms   loop_ms   lpref_ms  dense_ms   deq_ms  vs_loop  vs_lpref vs_dense
  32  1024  2048  3     4    0.0481    0.4740     1.5062    0.2324  40.9385     9.85     31.31     4.83
  32  1024  2048  3     8    0.0850    0.8417     2.9584    0.3860  40.9385     9.90     34.80     4.54
  32  1024  2048  3    32    0.2478    3.0433    11.5517    1.2954  40.9385    12.28     46.62     5.23
  32  1024  2048  3   128    0.3665    3.1232    12.0381    1.3619  40.9385     8.52     32.85     3.72
  32  1024  2048  3   512    1.2421    3.1424    12.3935    1.3681  40.9385     2.53      9.98     1.10
  32  1024  2048  3  2048    5.5460    3.2369    13.3929    1.3537  40.9385     0.58      2.41     0.24
  32  1024  2048  4     4    0.0532    0.4547     1.6507    0.2324  41.2855     8.55     31.03     4.37
  32  1024  2048  4     8    0.0922    0.8284     3.1386    0.3840  41.2855     8.98     34.04     4.16
  32  1024  2048  4    32    0.2796    3.0268    12.5184    1.2923  41.2855    10.83     44.77     4.62
  32  1024  2048  4   128    0.2693    3.1232    12.5245    1.3536  41.2855    11.60     46.51     5.03
  32  1024  2048  4   512    0.5724    3.1335    12.6218    1.3609  41.2855     5.47     22.05     2.38
  32  1024  2048  4  2048    2.8620    3.1234    12.6650    1.3629  41.2855     1.09      4.43     0.48
  32  1024  2048  8     4    0.0594    0.4557     1.7285    0.2632  42.7387     7.67     29.10     4.43
  32  1024  2048  8     8    0.1004    0.9236     3.3894    0.4004  42.7387     9.20     33.76     3.99
  32  1024  2048  8    32    0.3471    3.1518    13.2772    1.2922  42.7387     9.08     38.25     3.72
  32  1024  2048  8   128    0.3727    3.1314    13.4390    1.3476  42.7387     8.40     36.06     3.62
  32  1024  2048  8   512    0.7578    3.1375    13.9254    1.3537  42.7387     4.14     18.38     1.79
  32  1024  2048  8  2048    3.3884    3.1160    13.7789    1.3466  42.7387     0.92      4.07     0.40
  64   512  2048  3     4    0.0408    0.4557     1.2892    0.2314  40.9416    11.17     31.60     5.67
  64   512  2048  3     8    0.0604    0.8335     2.5006    0.3860  40.9416    13.80     41.40     6.39
  64   512  2048  3    32    0.1311    3.2328     9.8714    1.2903  40.9416    24.66     75.30     9.84
  64   512  2048  3   128    0.2488    6.5024    20.2013    2.9225  40.9416    26.14     81.19    11.75
  64   512  2048  3   512    0.6318    6.4788    20.1697    2.9409  40.9416    10.25     31.92     4.65
  64   512  2048  3  2048    2.5342    6.4748    20.0909    2.9255  40.9416     2.55      7.93     1.15
  64   512  2048  4     4    0.0410    0.4526     1.2842    0.2324  41.2723    11.04     31.32     5.67
  64   512  2048  4     8    0.0686    0.8243     2.5015    0.3841  41.2723    12.02     36.47     5.60
  64   512  2048  4    32    0.1444    3.0239     9.8171    1.3026  41.2723    20.94     67.99     9.02
  64   512  2048  4   128    0.2591    6.4975    20.2138    2.9082  41.2723    25.08     78.02    11.22
  64   512  2048  4   512    0.2959    6.5085    20.2086    2.9531  41.2723    22.00     68.30     9.98
  64   512  2048  4  2048    1.3005    6.7779    20.0345    2.9553  41.2723     5.21     15.41     2.27
  64   512  2048  8     4    0.0450    0.4577     1.2860    0.2335  42.7232    10.17     28.58     5.19
  64   512  2048  8     8    0.0727    0.8283     2.5119    0.3862  42.7232    11.39     34.55     5.31
  64   512  2048  8    32    0.1526    3.0269     9.7494    1.2800  42.7232    19.84     63.89     8.39
  64   512  2048  8   128    0.3512    6.4542    19.9435    2.9430  42.7232    18.38     56.79     8.38
  64   512  2048  8   512    0.4547    6.4923    19.9528    2.9522  42.7232    14.28     43.88     6.49
  64   512  2048  8  2048    1.6527    6.5075    19.8953    2.9339  42.7232     3.94     12.04     1.78
   8  2048  4096  3     4    0.0911    1.4490    19.0177    0.3624  40.9295    15.91    208.76     3.98
   8  2048  4096  3     8    0.2221    2.8150    38.1164    0.6502  40.9295    12.67    171.62     2.93
   8  2048  4096  3    32    0.3738    2.8140    37.9380    0.6502  40.9295     7.53    101.49     1.74
   8  2048  4096  3   128    1.2286    2.8365    38.1061    0.6584  40.9295     2.31     31.02     0.54
   8  2048  4096  3   512    6.1307    2.8733    38.1033    0.7004  40.9295     0.47      6.22     0.11
   8  2048  4096  3  2048   27.6439    3.3802    38.4205    0.9708  40.9295     0.12      1.39     0.04
   8  2048  4096  4     4    0.1034    0.5734    19.1478    0.3625  41.2631     5.55    185.18     3.51
   8  2048  4096  4     8    0.2540    1.2105    38.0998    0.6504  41.2631     4.77    150.00     2.56
   8  2048  4096  4    32    0.2796    1.1602    38.1542    0.6505  41.2631     4.15    136.46     2.33
   8  2048  4096  4   128    0.5663    1.2042    38.1030    0.6574  41.2631     2.13     67.28     1.16
   8  2048  4096  4   512    2.7453    1.3138    38.2126    0.7126  41.2631     0.48     13.92     0.26
   8  2048  4096  4  2048   11.3725    1.9190    38.6540    1.0025  41.2631     0.17      3.40     0.09
   8  2048  4096  8     4    0.1178    0.4690    19.6844    0.3624  42.7694     3.98    167.10     3.08
   8  2048  4096  8     8    0.3533    0.8540    39.3983    0.6502  42.7694     2.42    111.52     1.84
   8  2048  4096  8    32    0.3869    0.8868    39.4189    0.6513  42.7694     2.29    101.88     1.68
   8  2048  4096  8   128    0.8151    0.9093    39.3728    0.6582  42.7694     1.12     48.30     0.81
   8  2048  4096  8   512    3.3371    0.9308    39.5049    0.6984  42.7694     0.28     11.84     0.21
   8  2048  4096  8  2048   13.0580    1.5258    39.8007    1.0036  42.7694     0.12      3.05     0.08
